question,answer,processed
Xin chào,Xin chào! Tôi có thể giúp gì cho bạn?,xin chào
Bạn tên gì?,Tôi là ChatBot ML,bạn tên gì
Bạn khỏe không?,Cảm ơn! Tôi luôn khỏe vì là AI mà,bạn khỏe không
ngủ chưa,ko cần ngủ,ngủ chưa
Ê,"Dạ, sao vậy ạ?",ê
Ê Ê,Có tên tuổi đàng hoàng nha mày :),ê ê
ê ê,Ê Ê,ê ê
ê,không,ê
tôi là ai,Bạn là Hoàng Lâm Vũ,tôi là ai
giỏi,Quá khen ạ !!,giỏi
bạn ơi,"Sao đấy? Tôi đây, có chuyện gì cứ nói !!",bạn ơi
alo alo,ko,alo alo
ko,Ý bạn là không hả?,ko
Chuẩn,"Dạ vâng, em có thể giúp gì cho anh",chuẩn
ê,Dạ sao ạ,ê
ê,dm,ê
ê,gì,ê
ê,gì,ê
ngoan,Em luôn ngoan mà,ngoan
cơm,"Tôi không cần ăn cơm, cảm ơn !",cơm
tôi tên,bạn tên Hoàng Lâm Vũ,
